time	time_hr	Mdot	Ladv	nuLnu	Ftot	Imin	Imax	Imean	alpha0	beta0	major_FWHM	minor_FWHM	PA	mnet	vnet	mavg	vavg	beta_2_amplitude	beta_2_phase	tauI	tauF
25000.00054648516	21587.850825585392	0.012110965209915675	7.044685773876465e+22	9.141674480009269e+38	0.09064541466089211	-8.160422551519673e-05	0.00026743386929269325	1.542612739398647e-05	1.0651742747688269	0.9950936804710454	24.58180859907467	16.875061017140457	2.6000276434948395	0.0018667700805453415	-0.009470652462416667	0.0028415492627434018	-0.005895747756937532	0.0033938753402063793	17.46320171885046	960.9363557178075	431933.5749490064
25005.000325034303	21592.16820443021	0.012110084861201702	7.0240780948223874e+22	9.124793345404765e+38	0.09047802766308138	-6.854240250335392e-05	0.00027609468916891617	1.53976413071611e-05	1.068603142026123	0.9610527750815101	24.661385951570022	16.86775950061805	2.682274508454067	0.005156163131011215	-0.008333847356147625	0.007823700040382828	-0.004875695344224652	0.005760990942271098	81.03235966791075	899.0242590417739	432295.030983907
25010.005551597456	21596.490287711476	0.012261529227894459	7.071413241707156e+22	9.099223241515715e+38	0.09022448410549647	-7.691428370744826e-05	0.0002558102978988641	1.535449301075959e-05	1.0752172148351218	0.924043042420045	24.73281558663156	16.855770038661408	2.8600712352298294	0.004407613483930933	-0.006923163088626814	0.0055983936513890956	-0.003789104539622878	0.005910388432688381	92.18866973569689	847.4557077050424	432288.4975190363
25015.000252400656	21600.803281851513	0.01230382397908158	7.056358583967286e+22	9.053962767584973e+38	0.0897756982253853	-7.694021867466948e-05	0.0002504288916457263	1.5278118180492527e-05	1.0764829621100451	0.891955358282446	24.817222338457203	16.847947305835206	3.05519940134081	0.0029481763702578303	-0.006405877757314881	0.005462743363883786	-0.003270387785742976	0.001502893026979292	87.83655259431123	802.9678183885263	432662.27494969545
25020.00282174532	21605.123070587375	0.01229039535068275	7.0625577603858874e+22	8.993974869343372e+38	0.08918088073077463	-7.750731563820045e-05	0.00023504815386332043	1.5176891543906948e-05	1.0734825966990742	0.8724456531789385	24.89774560418345	16.84412825799193	3.3455509556135987	0.004405661092384839	-0.007250274218265477	0.006434372793446513	-0.004270507318366724	0.0047017017662849105	-119.37961242146694	763.2256349748261	432583.085845483
25025.00341331465	21609.44115148652	0.012204367332192241	6.9852478698612945e+22	8.948284528506902e+38	0.08872783245169011	-7.380327169925142e-05	0.0002280901813879742	1.5099791334316304e-05	1.0802941777327173	0.8449731321878774	24.94990928415676	16.824066743302637	3.5746890770221165	0.004065362687340754	-0.005069551671439754	0.005384856782032932	-0.0020235323136304916	0.004791501818653192	-120.97059659662371	733.1759309718057	432035.0769490691
25030.00534636622	21613.76039077438	0.012200068807962644	6.917277664279772e+22	8.89219739679384e+38	0.08817169349461079	-8.582732899589157e-05	0.00023862623685377146	1.5005147049961198e-05	1.082344629239428	0.8495944822884819	24.985517508727416	16.783207870468154	3.730695132214954	0.003157536729013316	-0.004108493649283946	0.004895536214236895	-0.0010532451055632426	0.0027113426103223706	22.32735609256208	710.50536506188	430677.360108075
25035.005803615702	21618.07835568645	0.0122381025374086	6.917973963988559e+22	8.840679990410895e+38	0.08766086621958066	-8.013543339176554e-05	0.00023997047571768933	1.491821395300934e-05	1.075866404263524	0.8592599690487607	24.98815212417296	16.75474058381869	3.974000459862776	0.00039413731580309957	-0.004213022816365891	0.00336103074260756	-0.0010726469336992046	0.0017683423238518353	168.79942997397936	695.6060337406968	429996.3265118581
25040.00074485095	21622.391557442934	0.012342022642321922	6.972973976389177e+22	8.779472767561644e+38	0.08705395835958801	-8.023885336441894e-05	0.00025100262612668826	1.481492976594182e-05	1.072724673675261	0.8801077719402773	24.9841745938871	16.720855714123196	4.1842804320556795	0.002117677586999147	-0.004791505581589864	0.0033514900097442023	-0.0015765519273364525	0.00196971958560125	-22.724086877087558	687.8463462483418	430188.7436144571
25045.00569895004	21626.713405447663	0.01249067551498555	7.067185605039817e+22	8.714013738877472e+38	0.08640489118799362	-7.456455393344952e-05	0.00025688381722501743	1.4704470865028399e-05	1.0752747275838423	0.8929155406200023	24.985213770750168	16.68923668806384	4.3942373670036	0.00039804168321566034	-0.0049173105869058506	0.00830460157784692	-0.0014582272807325048	0.0030022227190854944	-22.62964232618618	677.3236623068583	431198.59508078673
25050.00526154331	21631.030597811558	0.012546061750152554	7.129870826305741e+22	8.651378598964366e+38	0.08578382463807634	-7.413444229006905e-05	0.0002448590575107554	1.4598777137937996e-05	1.0662857748861239	0.8993789458372697	24.981469731451764	16.642080171304137	4.6650793788618605	0.002903841146259412	-0.005834194643853601	0.004042525896733013	-0.0023193877468565913	0.0018115033423827275	-93.78817028447753	663.028289063723	432513.6854112993
25055.00081391064	21635.344327289156	0.012492256490629981	7.100269422338648e+22	8.590404493520748e+38	0.08517922828282434	-7.629417908153547e-05	0.0002480792099646451	1.4495886325060675e-05	1.055058403972104	0.8938046674610097	24.975698136989315	16.599483111027947	4.944685664985932	0.002976036744477176	-0.005171854042850342	0.005947435434155999	-0.0015079828831037283	0.004276248090486422	6.087582878417128	636.9193856651783	434687.35738724325
25060.00363276138	21639.66433147701	0.012545695438435023	7.1274205463649725e+22	8.536047879105495e+38	0.08464024848606967	-8.427759841498776e-05	0.0002485110442753032	1.4404162203784043e-05	1.0356492183673411	0.8880553234668482	24.95762866595001	16.559740412142386	5.219885751208677	0.0030342777484537705	-0.004974376126453721	0.0040098308192915095	-0.0012802318970706193	0.0015798334192902556	-48.82058074761148	629.9921751021039	436953.56448129576
