time	time_hr	Mdot	Ladv	nuLnu	Ftot	Imin	Imax	Imean	alpha0	beta0	major_FWHM	minor_FWHM	PA	mnet	vnet	mavg	vavg	beta_2_amplitude	beta_2_phase	tauI	tauF
25000.00574440445	21587.855314061544	0.0062232772163262964	6.18902219466244e+22	4.645010414606928e+39	0.17221754524055072	-0.0005194328460512736	0.0012012894919720461	2.9308154221578258e-05	0.810537957492393	1.6241484254952363	14.201198807072515	10.452415867020465	-20.73934258527487	0.002713479305302599	0.008585974671427734	0.003218164766386378	0.008181161040852035	0.004932142893673724	-58.99818825271982	10.05841459696102	51947.58799539551
25005.00532176826	21592.17251918001	0.0062387181423569265	6.202352025229885e+22	4.649687285433507e+39	0.17239094403652067	-0.0005608719599059246	0.0012988198764580213	2.9337663402231207e-05	0.7598437585554025	1.5963974857625136	14.214362107166634	10.428139649556174	-20.7085419637139	0.002420901162133629	0.008569104026767733	0.004162393707077434	0.00798318874646912	0.004461652335050799	-161.91836146126568	9.706108738336994	51902.31024911917
25010.004432069407	21596.489320983317	0.006215361743245703	6.182368194357297e+22	4.6480884203413256e+39	0.17233166481069145	-0.0005380482739812627	0.0012627650844483607	2.9327575204247018e-05	0.7207829812697153	1.581521577809284	14.214139609269957	10.408775802677846	-20.75063683905602	0.0026721908584187394	0.006690862590789413	0.004181899769961482	0.00636268399442431	0.004401453668147318	-55.81730677067112	9.680558103331274	51694.22990543366
25015.00549877734	21600.807812171304	0.006184269753639423	6.156410075274418e+22	4.65515209531579e+39	0.1725935563148857	-0.0005368624884647829	0.0012718905956139092	2.9372144162558165e-05	0.6732804845398054	1.5938736277931524	14.201602719802302	10.373545475634314	-20.888488074787695	0.0021078227551134116	0.007622483795934972	0.003517764728446079	0.0069600164443993804	0.008921834550436554	-42.872041231695086	9.818290050580362	50988.16076903877
25020.00534230891	21605.12524712936	0.006148891125864134	6.10637425378799e+22	4.6680695673015156e+39	0.1730724821121454	-0.0005386738160117609	0.0013038544980985918	2.9453648234092534e-05	0.6420724723765151	1.5929816375446753	14.194193156739361	10.340206652353286	-21.211537775754117	0.000998773851359645	0.007589496172289874	0.004311364845684583	0.006896148618843073	0.0025592869399814677	68.99050369937714	9.614394234677311	50432.69787038686
25025.0045268288	21609.442113021596	0.006213365337649275	6.183821660902549e+22	4.6970952897091866e+39	0.17414863441659745	-0.0005351585315416941	0.001358027170158238	2.9636788910384755e-05	0.6084927276513312	1.5876086660855213	14.1791386910301	10.295154014226934	-21.5267058580298	0.006180425073547856	0.008190531224537964	0.007587547669920078	0.007280715913627724	0.004414143419349041	166.99146304956102	10.608865384954015	50105.404292888226
25030.000429582087	21613.756145062376	0.006249643387787838	6.2095265419794745e+22	4.740022720962656e+39	0.17574020390171788	-0.00056161854753667	0.001425551718170707	2.990764379836468e-05	0.5704595274258809	1.571429685322274	14.164752248157148	10.228898208517533	-21.66364145807271	0.0027660663119486394	0.008098794414395172	0.004732289479046429	0.007265813823525318	0.00444427495836995	-23.42704529252758	11.80781162084968	49582.22902853798
25035.004823833726	21618.077509630984	0.006265530092368095	6.24855112577002e+22	4.773485283058048e+39	0.1769808556521221	-0.0006029909548127656	0.0015973285109498853	3.0118779155016546e-05	0.5316421120827207	1.5738216777013851	14.165216827205498	10.16120489539326	-21.684826433612216	0.001028538157874101	0.009578527132760846	0.002511594154124457	0.008639638680172626	0.0024424241797977417	3.9475309849629765	13.736698695256061	48899.242270679606
25040.005254548378	21622.39545162986	0.0062929067478840325	6.30526979448143e+22	4.798207981661696e+39	0.1778974698435248	-0.0005864192600616877	0.00166479588562455	3.027476947554869e-05	0.5285554931763427	1.581114618524816	14.170989512664878	10.116939443408569	-21.75186697589118	0.002458321757139165	0.009338739204508416	0.005958837744200588	0.008659801962840365	0.0020187835492859367	-16.10731872202937	15.78454084940913	48396.813963251036
25045.003414218954	21626.71143255035	0.006367343684531721	6.381143737476136e+22	4.8144628079212304e+39	0.17850013076930565	-0.0005732941112970853	0.0016079355946688595	3.0377330915101437e-05	0.5281789679739586	1.5952705449667162	14.179757304296098	10.072109740885306	-21.650911222071503	0.002877217961151291	0.010068783506086912	0.003983880975085894	0.009113455379020889	0.004860295641116611	-64.2481431986232	17.339688218345405	47968.79327132511
25050.002750548105	21631.02842953201	0.0063771766683439	6.376969379699662e+22	4.849963504590602e+39	0.1798163480194334	-0.000578652569256645	0.0015581876479910622	3.0601326084130374e-05	0.5059348433672279	1.583248217879104	14.189993823678236	10.022523326871429	-21.666265391323066	0.00862548135443543	0.009224375630663787	0.009747329647081642	0.008357972917670153	0.007339832460522883	-61.34606405960209	18.546776906689903	47841.49669903423
25055.00368424863	21635.346805866237	0.006379615777354204	6.350533003687003e+22	4.8600673189339456e+39	0.18019095516741845	-0.0005909203529118955	0.0016014955115515488	3.066507710351871e-05	0.45941269218266667	1.5714776416472036	14.231845113089806	9.963476202154709	-21.56820158587508	0.00771187831175867	0.00842282238482378	0.0075028122022486685	0.007658928357193045	0.004954978028898924	-32.815949158219915	20.286462770386038	47800.77703365646
25060.004614963695	21639.665179622476	0.006406455944861611	6.349433297511558e+22	4.8748486452272926e+39	0.18073898488154672	-0.0005276302451276506	0.0014678191963172632	3.0758341348791795e-05	0.39691438051614925	1.5645126290794227	14.285849069434954	9.897749451978274	-21.190968857297406	0.003984086873028414	0.00816434924621924	0.005062391023595143	0.007486527208107832	0.0036941039782832723	-33.72550646993666	20.94507211993121	47727.458875130105
